KNN_algorithm,KNN_leaf_size,KNN_metric,KNN_n_jobs,KNN_n_neighbors,KNN_p,KNN_weights,RBFSVM_C,RBFSVM_cache_size,RBFSVM_coef0,RBFSVM_degree,RBFSVM_gamma,RBFSVM_kernel,RBFSVM_max_iter,RBFSVM_probability,RBFSVM_shrinking,RBFSVM_tol,RBFSVM_verbose,RandomForest_RandomForestClassifier_bootstrap,RandomForest_RandomForestClassifier_criterion,RandomForest_RandomForestClassifier_max_features,RandomForest_RandomForestClassifier_min_impurity_split,RandomForest_RandomForestClassifier_min_samples_leaf,RandomForest_RandomForestClassifier_min_samples_split,RandomForest_RandomForestClassifier_min_weight_fraction_leaf,RandomForest_RandomForestClassifier_n_estimators,RandomForest_RandomForestClassifier_n_jobs,RandomForest_RandomForestClassifier_oob_score,RandomForest_RandomForestClassifier_verbose,RandomForest_RandomForestClassifier_warm_start,accuracy_KNN,accuracy_RBFSVM,accuracy_RandomForest,network_extra_noise,network_sample_size,network_sine_corruption,network_sine_periods,network_test_size,network_xor_corruption,network_xor_dim,network_xor_var
auto,30,minkowski,1,5,2,uniform,1.0,200,0.0,3,auto,rbf,-1,False,True,0.001,False,True,gini,auto,1e-07,1,2,0.0,100,1,False,0,False,0.657333333333,0.718666666667,0.822,0,5000,0.15,3,0.3,0.15,3,0.2
auto,30,minkowski,1,5,2,uniform,1.0,200,0.0,3,auto,rbf,-1,False,True,0.001,False,True,gini,auto,1e-07,1,2,0.0,100,1,False,0,False,0.756666666667,0.781333333333,0.826666666667,0,5000,0.3,1,0.3,0.15,3,0.2
auto,30,minkowski,1,5,2,uniform,1.0,200,0.0,3,auto,rbf,-1,False,True,0.001,False,True,gini,auto,1e-07,1,2,0.0,100,1,False,0,False,0.687333333333,0.691333333333,0.835333333333,0,5000,0.3,2,0.3,0.15,3,0.2
auto,30,minkowski,1,5,2,uniform,1.0,200,0.0,3,auto,rbf,-1,False,True,0.001,False,True,gini,auto,1e-07,1,2,0.0,100,1,False,0,False,0.628,0.638666666667,0.812666666667,0,5000,0.3,3,0.3,0.15,3,0.2
auto,30,minkowski,1,5,2,uniform,1.0,200,0.0,3,auto,rbf,-1,False,True,0.001,False,True,gini,auto,1e-07,1,2,0.0,100,1,False,0,False,0.74,0.772666666667,0.830666666667,0,5000,0.45,1,0.3,0.15,3,0.2
auto,30,minkowski,1,5,2,uniform,1.0,200,0.0,3,auto,rbf,-1,False,True,0.001,False,True,gini,auto,1e-07,1,2,0.0,100,1,False,0,False,0.658666666667,0.62,0.833333333333,0,5000,0.45,2,0.3,0.15,3,0.2
auto,30,minkowski,1,5,2,uniform,1.0,200,0.0,3,auto,rbf,-1,False,True,0.001,False,True,gini,auto,1e-07,1,2,0.0,100,1,False,0,False,0.622,0.591333333333,0.826,0,5000,0.45,3,0.3,0.15,3,0.2
auto,30,minkowski,1,5,2,uniform,1.0,200,0.0,3,auto,rbf,-1,False,True,0.001,False,True,gini,auto,1e-07,1,2,0.0,100,1,False,0,False,0.928,1.0,0.876,0,5000,0,1,0.3,0.3,3,0.2
auto,30,minkowski,1,5,2,uniform,1.0,200,0.0,3,auto,rbf,-1,False,True,0.001,False,True,gini,auto,1e-07,1,2,0.0,100,1,False,0,False,0.74,0.941333333333,0.704,0,5000,0,2,0.3,0.3,3,0.2
auto,30,minkowski,1,5,2,uniform,1.0,200,0.0,3,auto,rbf,-1,False,True,0.001,False,True,gini,auto,1e-07,1,2,0.0,100,1,False,0,False,0.671333333333,0.829333333333,0.660666666667,0,5000,0,3,0.3,0.3,3,0.2
auto,30,minkowski,1,5,2,uniform,1.0,200,0.0,3,auto,rbf,-1,False,True,0.001,False,True,gini,auto,1e-07,1,2,0.0,100,1,False,0,False,0.782,0.855333333333,0.752,0,5000,0.15,1,0.3,0.3,3,0.2
