KNN_algorithm,KNN_leaf_size,KNN_mean_test_score,KNN_mean_train_score,KNN_metric,KNN_n_jobs,KNN_n_neighbors,KNN_p,KNN_rank_test_score,KNN_split0_test_score,KNN_split0_train_score,KNN_split1_test_score,KNN_split1_train_score,KNN_split2_test_score,KNN_split2_train_score,KNN_std_test_score,KNN_std_train_score,KNN_weights,RBFSVM_C,RBFSVM_cache_size,RBFSVM_coef0,RBFSVM_degree,RBFSVM_gamma,RBFSVM_kernel,RBFSVM_max_iter,RBFSVM_mean_test_score,RBFSVM_mean_train_score,RBFSVM_probability,RBFSVM_rank_test_score,RBFSVM_shrinking,RBFSVM_split0_test_score,RBFSVM_split0_train_score,RBFSVM_split1_test_score,RBFSVM_split1_train_score,RBFSVM_split2_test_score,RBFSVM_split2_train_score,RBFSVM_std_test_score,RBFSVM_std_train_score,RBFSVM_tol,RBFSVM_verbose,RandomForest_RandomForestClassifier_bootstrap,RandomForest_RandomForestClassifier_criterion,RandomForest_RandomForestClassifier_max_features,RandomForest_RandomForestClassifier_min_impurity_split,RandomForest_RandomForestClassifier_min_samples_leaf,RandomForest_RandomForestClassifier_min_samples_split,RandomForest_RandomForestClassifier_min_weight_fraction_leaf,RandomForest_RandomForestClassifier_n_estimators,RandomForest_RandomForestClassifier_n_jobs,RandomForest_RandomForestClassifier_oob_score,RandomForest_RandomForestClassifier_verbose,RandomForest_RandomForestClassifier_warm_start,accuracy_KNN,accuracy_RBFSVM,accuracy_RandomForest,network_extra_noise,network_sample_size,network_sine_corruption,network_sine_periods,network_test_size,network_xor_corruption,network_xor_dim,network_xor_var
auto,30,0.738,1.0,minkowski,1,1,2,1,0.736932305056,1.0,0.730934018852,1.0,0.746140651801,1.0,0.00625339896935,0.0,uniform,1.0,200,0.0,3,auto,rbf,-1,,,False,,True,,,,,,,,,0.001,False,True,gini,auto,1e-07,1,2,0.0,100,1,False,0,False,0.791333333333,0.859333333333,0.975333333333,0,5000,0,3,0.3,0,3,0.2
auto,30,0.662571428571,0.742714866967,minkowski,1,10,2,2,0.647814910026,0.752678954136,0.687232219366,0.736819545649,0.652658662093,0.738646101114,0.0175532732497,0.00708502416186,uniform,1.0,200,0.0,3,auto,rbf,-1,,,False,,True,,,,,,,,,0.001,False,True,gini,auto,1e-07,1,2,0.0,100,1,False,0,False,0.791333333333,0.859333333333,0.975333333333,0,5000,0,3,0.3,0,3,0.2
auto,30,,,minkowski,1,5,2,,,,,,,,,,uniform,0.1,200,0.0,3,0.01,rbf,-1,0.617428571429,0.627998760504,False,8,True,0.631533847472,0.615945135019,0.603256212511,0.631375910844,0.617495711835,0.636675235647,0.0115460427211,0.00879348722358,0.001,False,True,gini,auto,1e-07,1,2,0.0,100,1,False,0,False,0.791333333333,0.859333333333,0.975333333333,0,5000,0,3,0.3,0,3,0.2
auto,30,,,minkowski,1,5,2,,,,,,,,,,uniform,0.1,200,0.0,3,0.1,rbf,-1,0.65,0.706858293993,False,6,True,0.658954584404,0.714959279897,0.64353041988,0.706815259323,0.647512864494,0.698800342759,0.00653853259859,0.00659692864617,0.001,False,True,gini,auto,1e-07,1,2,0.0,100,1,False,0,False,0.791333333333,0.859333333333,0.975333333333,0,5000,0,3,0.3,0,3,0.2
auto,30,,,minkowski,1,5,2,,,,,,,,,,uniform,0.1,200,0.0,3,1,rbf,-1,0.502285714286,0.502285734784,False,9,True,0.502142245073,0.50235747964,0.502142245073,0.50235747964,0.502572898799,0.502142245073,0.00020298309318,0.000101462547967,0.001,False,True,gini,auto,1e-07,1,2,0.0,100,1,False,0,False,0.791333333333,0.859333333333,0.975333333333,0,5000,0,3,0.3,0,3,0.2
auto,30,,,minkowski,1,5,2,,,,,,,,,,uniform,1,200,0.0,3,0.01,rbf,-1,0.628857142857,0.645428475337,False,7,True,0.626392459297,0.641663094728,0.619537275064,0.648521217317,0.640651801029,0.646101113967,0.0087938543156,0.00283992880266,0.001,False,True,gini,auto,1e-07,1,2,0.0,100,1,False,0,False,0.791333333333,0.859333333333,0.975333333333,0,5000,0,3,0.3,0,3,0.2
auto,30,,,minkowski,1,5,2,,,,,,,,,,uniform,1,200,0.0,3,0.1,rbf,-1,0.710285714286,0.8089995841,False,4,True,0.707797772065,0.809687098157,0.709511568123,0.805400771539,0.713550600343,0.811910882605,0.00241139574857,0.00270183804191,0.001,False,True,gini,auto,1e-07,1,2,0.0,100,1,False,0,False,0.791333333333,0.859333333333,0.975333333333,0,5000,0,3,0.3,0,3,0.2
auto,30,,,minkowski,1,5,2,,,,,,,,,,uniform,1,200,0.0,3,1,rbf,-1,0.748857142857,0.995428346784,False,3,True,0.748928877464,0.996999571367,0.743787489289,0.992284612087,0.753859348199,0.997000856898,0.00411183810656,0.00222295618433,0.001,False,True,gini,auto,1e-07,1,2,0.0,100,1,False,0,False,0.791333333333,0.859333333333,0.975333333333,0,5000,0,3,0.3,0,3,0.2
auto,30,,,minkowski,1,5,2,,,,,,,,,,uniform,10,200,0.0,3,0.01,rbf,-1,0.666571428571,0.706858722503,False,5,True,0.679520137104,0.712816116588,0.651242502142,0.711958851264,0.668953687822,0.695801199657,0.0116680760446,0.00782667807679,0.001,False,True,gini,auto,1e-07,1,2,0.0,100,1,False,0,False,0.791333333333,0.859333333333,0.975333333333,0,5000,0,3,0.3,0,3,0.2
auto,30,,,minkowski,1,5,2,,,,,,,,,,uniform,10,200,0.0,3,0.1,rbf,-1,0.815142857143,0.94799973261,False,1,True,0.815766923736,0.948992713245,0.81148243359,0.945135019288,0.818181818182,0.949871465296,0.00277020492993,0.00205718061126,0.001,False,True,gini,auto,1e-07,1,2,0.0,100,1,False,0,False,0.791333333333,0.859333333333,0.975333333333,0,5000,0,3,0.3,0,3,0.2
